0,0,0
1,0.00413089,1
2,0.0103278,2
3,0.0184508,3
4,0.0258203,4
5,0.0347704,0
6,0.046127,6
7,0.0556281,0
8,0.0645507,0
9,0.0753698,9
10,0.0869266,10
11,0.100709,11
12,0.115318,12
13,0.130478,13
14,0.13907,0
15,0.148862,0
16,0.161377,0
17,0.173222,17
18,0.188425,18
19,0.206287,19
20,0.217317,5
21,0.231933,0
22,0.251772,0
23,0.26716,0
24,0.288296,0
25,0.32,0
26,0.326196,1
27,0.335492,2
28,0.347676,28
29,0.35873,4
30,0.372156,5
31,0.389191,0
32,0.403442,0
33,0.416826,0
34,0.433055,9
35,0.45039,10
36,0.471063,11
37,0.492978,12
38,0.515718,0
39,0.528605,0
40,0.543293,0
41,0.562065,0
42,0.579832,8
43,0.602637,43
44,0.629431,6
45,0.645976,5
46,0.667899,46
47,0.697658,0
48,0.72074,0
49,0.752444,0
50,0.8,0
51,0.806196,1
52,0.815492,2
53,0.827676,3
54,0.838731,4
55,0.852156,0
56,0.869191,0
57,0.883442,0
58,0.896826,0
59,0.913055,9
60,0.93039,10
61,0.951063,11
62,0.972978,12
63,0.995718,0
64,1.00861,0
65,1.02329,0
66,1.04207,0
67,1.05983,8
68,1.08264,7
69,1.10943,6
70,1.12598,5
71,1.1479,0
72,1.17766,0
73,1.20074,0
74,1.23244,0
75,1.28,0
76,1.28929,1
77,1.30324,2
78,1.32151,3
79,1.3381,4
80,1.35823,0
81,1.38379,0
82,1.40516,0
83,1.42524,0
84,1.44958,9
85,1.47558,10
86,1.50659,14
87,1.53947,12
88,1.57358,0
89,1.59291,0
90,1.61494,0
91,1.6431,0
92,1.66975,8
93,1.70396,7
94,1.74415,6
95,1.76896,5
96,1.80185,0
97,1.84649,0
98,1.88111,0
99,1.92867,0
100,1,0
